village_code,hhid,time,cash,income_pc,elder,hhsize
20201014,121,0,1,66.04677,0,4
20201014,121,1,1,167.5553,0,8
20201016,122,0,1,69.00358,1,6
20201016,122,1,1,13.58859,1,3
20201016,123,0,1,54.28283,1,2
20201016,123,1,1,454.793,1,2
20201016,124,0,1,63.11324,0,4
20201016,124,1,1,36.42169,0,5
20201016,125,0,1,48.09238,1,4
20201016,125,1,1,15.78014,1,5
20202010,126,0,1,165.7318,1,1
20202010,126,1,1,149.1276,1,1
20202010,127,0,1,42.70966,1,1
20202010,127,1,1,113.6394,1,1
20202010,128,0,1,170.31,0,3
20202010,128,1,1,407.8076,0,2
20202012,129,0,0,60.20758,0,2
20202012,129,1,0,145.5125,0,4
20202012,130,0,0,216.0916,1,1
20202012,130,1,0,153.3663,1,1
20202012,131,0,0,248.4482,0,1
20202012,131,1,0,1468.366,0,1
20202015,132,0,1,33.30091,0,6
20202015,132,1,1,21.91604,0,4
20202015,133,0,1,62.65331,1,4
20202015,133,1,1,.4117282,1,5
20202015,134,0,1,9.262208,0,3
20202015,134,1,1,132.7917,0,2
20202015,135,0,1,154.3097,0,6
20202015,135,1,1,1016.72,0,5
20203011,136,0,1,230.3075,0,1
20203011,136,1,1,117.2881,0,7
20203011,137,0,1,189.3924,0,2
20203011,137,1,1,137.305,0,2
20203011,138,0,1,98.99211,0,8
20203011,138,1,1,416.2381,0,8
20203013,139,0,0,191.1993,0,2
20203013,139,1,0,1591.204,0,3
20203013,140,0,0,28.88731,0,7
20203013,140,1,0,109.0064,0,6
20203014,141,0,1,65.79154,0,4
20203014,141,1,1,1350.569,0,4
20203014,142,0,1,29.30526,1,5
20203014,142,1,1,71.34007,1,4
20203014,143,0,1,54.11294,1,3
20203014,143,1,1,48.92836,1,3
20203021,144,0,1,38.07854,0,7
20203021,144,1,1,57.75092,0,4
20203021,145,0,1,28.57734,1,10
20203021,145,1,1,38.72548,1,6
20203021,146,0,1,1582.276,0,1
20203021,146,1,1,1949.41,0,1
20203021,147,0,1,46.67687,1,4
20203021,147,1,1,4.396717,1,6
20203024,148,0,0,32.19907,1,1
20203024,148,1,0,17.31555,1,3
20203024,149,0,0,59.75648,0,5
20203024,149,1,0,55.9045,0,5
20204012,150,0,0,72.66615,0,5
20204012,150,1,0,304.7537,0,3
20204012,151,0,0,25.31673,0,9
20204012,151,1,0,45.71306,0,5
20204012,152,0,0,65.3021,0,6
20204012,152,1,0,318.0702,0,6
20204016,153,0,1,37.15254,0,6
20204016,153,1,1,34.16363,0,3
20204016,154,0,1,54.26334,1,6
20204016,154,1,1,86.62724,1,2
20204016,155,0,1,59.19283,0,8
20204016,155,1,1,123.5751,0,8
20205013,156,0,0,48.7205,1,1
20205013,156,1,0,53.18348,1,4
20205013,157,0,0,54.75037,0,9
20205013,157,1,0,836.0526,0,6
20205013,158,0,0,37.49739,0,5
20205013,158,1,0,387.1626,0,7
20206017,159,0,1,117.0905,0,2
20206017,159,1,1,241.2482,0,2
20206017,160,0,1,29.16666,0,6
20206017,160,1,1,186.3234,0,6
20207016,161,0,1,41.4523,0,6
20207016,161,1,1,76.09399,0,5
20207016,162,0,1,144.6873,0,2
20207016,162,1,1,520.9471,0,1
20207016,163,0,1,499.4846,0,1
20207016,163,1,1,948.6364,0,1
20207016,164,0,1,.049438,1,5
20207016,164,1,1,25.44003,1,4
20207018,165,0,0,116.7246,0,4
20207018,165,1,0,269.2529,0,3
20207018,166,0,0,251.576,0,7
20207018,166,1,0,769.5526,0,12
